GENE	AGGREGATED_IMACT	DB_IMPACT	DB_DRIVER_FREQUENCY	DB_DRIVER_SNV_FREQUENCY	DB_DRIVER_DELTION_FREQUENCY	DB_DRIVER_AMPLIFICATION_FREQUENCY	DB_MUTATION_FREQUENCY	DB_SNV_FREQUENCY	DB_DELTION_FREQUENCY	DB_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	DRUGS
CDKN2A	47.160	159.853	0.533	0.009	0.524	0.000	0.616	0.009	0.607	0.000	Y	Dasatinib[http://www.cancerrxgene.org/translation/Drug/51];PD-0332991[http://www.cancerrxgene.org/translation/Drug/1054];WH-4-023[http://www.cancerrxgene.org/translation/Drug/56];AZD-0530[http://www.cancerrxgene.org/translation/Drug/38];Erlotinib[http://www.cancerrxgene.org/translation/Drug/1];BMS-536924[http://www.cancerrxgene.org/translation/Drug/62];WZ-1-84[http://www.cancerrxgene.org/translation/Drug/59];MG-132[http://www.cancerrxgene.org/translation/Drug/9];GNF-2[http://www.cancerrxgene.org/translation/Drug/52];Bortezomib[http://www.cancerrxgene.org/translation/Drug/104];VX-680[http://www.cancerrxgene.org/translation/Drug/32];Imatinib[http://www.cancerrxgene.org/translation/Drug/34];A-770041[http://www.cancerrxgene.org/translation/Drug/55];Paclitaxel[http://www.cancerrxgene.org/translation/Drug/11];AZD6244[http://www.cancerrxgene.org/translation/Drug/1062];AZ628[http://www.cancerrxgene.org/translation/Drug/29];PF-02341066[http://www.cancerrxgene.org/translation/Drug/37];CI-1040[http://www.cancerrxgene.org/translation/Drug/1015];Z-LLNle-CHO[http://www.cancerrxgene.org/translation/Drug/45];GSK269962A[http://www.cancerrxgene.org/translation/Drug/127];Metformin[http://www.cancerrxgene.org/translation/Drug/1000];ZM-447439[http://www.cancerrxgene.org/translation/Drug/1050];Midostaurin[http://www.cancerrxgene.org/translation/Drug/153];Cytarabine[http://www.cancerrxgene.org/translation/Drug/1006];PD-0325901[http://www.cancerrxgene.org/translation/Drug/1060];GSK-650394[http://www.cancerrxgene.org/translation/Drug/177];RDEA119[http://www.cancerrxgene.org/translation/Drug/1014];A-443654[http://www.cancerrxgene.org/translation/Drug/86];SL 0101-1[http://www.cancerrxgene.org/translation/Drug/1039];XMD8-85[http://www.cancerrxgene.org/translation/Drug/106];Sunitinib[http://www.cancerrxgene.org/translation/Drug/5];GW843682X[http://www.cancerrxgene.org/translation/Drug/87];Nutlin-3a[http://www.cancerrxgene.org/translation/Drug/1047];ABT-263[http://www.cancerrxgene.org/translation/Drug/1011];Docetaxel[http://www.cancerrxgene.org/translation/Drug/1007];Sorafenib[http://www.cancerrxgene.org/translation/Drug/30];Lapatinib[http://www.cancerrxgene.org/translation/Drug/119];NVP-BEZ235[http://www.cancerrxgene.org/translation/Drug/1057];Thapsigargin[http://www.cancerrxgene.org/translation/Drug/180];
PDGFRA	43.056	29.273	0.083	0.022	0.000	0.074	0.157	0.044	0.000	0.144	Y	PD-173074[http://www.cancerrxgene.org/translation/Drug/1049];
GRB2	43.056	9.521	0.017	0.000	0.000	0.017	0.022	0.000	0.000	0.022	N	
PSMD12	43.056	6.390	0.009	0.000	0.000	0.009	0.009	0.000	0.000	0.009	N	
LAMA2	43.056	7.931	0.013	0.013	0.000	0.000	0.026	0.026	0.000	0.000	N	
PRKCA	43.056	7.602	0.009	0.004	0.000	0.004	0.009	0.004	0.000	0.004	N	
MELK	4.105	0.090	0.004	0.004	0.000	0.000	0.013	0.004	0.000	0.009	N	
RALGDS	2.596	0.122	0.004	0.004	0.000	0.000	0.013	0.009	0.000	0.004	Y	
CNTN2	1.899	1.055	0.013	0.000	0.000	0.013	0.039	0.009	0.000	0.035	N	
SEC61G	1.713	10.345	0.166	0.000	0.000	0.166	0.419	0.000	0.000	0.419	N	
EIF4A3	1.702	0.037	0.004	0.000	0.000	0.004	0.004	0.000	0.000	0.004	N	
PTEN	1.498	108.625	0.279	0.214	0.070	0.000	0.410	0.319	0.096	0.000	Y	Obatoclax Mesylate[http://www.cancerrxgene.org/translation/Drug/182];Bosutinib[http://www.cancerrxgene.org/translation/Drug/1019];BIBW2992[http://www.cancerrxgene.org/translation/Drug/1032];OSI-906[http://www.cancerrxgene.org/translation/Drug/185];MK-2206[http://www.cancerrxgene.org/translation/Drug/1053];FH535[http://www.cancerrxgene.org/translation/Drug/173];BMS-754807[http://www.cancerrxgene.org/translation/Drug/184];GSK269962A[http://www.cancerrxgene.org/translation/Drug/127];
KCNJ16	1.340	0.000	0.000	0.000	0.000	0.000	0.009	0.004	0.000	0.004	N	
ITGA7	1.136	1.997	0.009	0.004	0.000	0.004	0.017	0.009	0.000	0.009	N	
PCDHGA8	0.793	0.367	0.017	0.017	0.000	0.000	0.017	0.017	0.000	0.000	N	
DCHS1	0.787	0.115	0.013	0.009	0.004	0.000	0.022	0.009	0.013	0.000	N	
AKAP6	0.604	0.066	0.004	0.004	0.000	0.000	0.013	0.013	0.000	0.000	N	
TRPV6	0.537	0.064	0.009	0.009	0.000	0.000	0.026	0.022	0.000	0.004	N	
KLHL9	0.501	1.615	0.057	0.000	0.057	0.000	0.284	0.000	0.284	0.000	N	
