GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
PDGFRA	0.056	0.048	0.000	0.008	CC	PC	63.1298449375188	0.072	0.056	0.000	0.016
LAMA1	0.072	0.048	0.000	0.024	-	-	62.9003914693593	0.096	0.048	0.000	0.048
SMARCC1	0.056	0.040	0.008	0.008	-	-	60.3995171334852	0.064	0.040	0.016	0.008
GLIS3	0.040	0.008	0.024	0.008	-	-	58.0002875737855	0.088	0.016	0.040	0.032
ACTA1	0.040	0.024	0.008	0.008	-	-	53.8856814740184	0.040	0.024	0.008	0.008
ITGB4	0.040	0.024	0.000	0.016	-	-	53.4894190758143	0.072	0.040	0.000	0.032
SHC1	0.040	0.000	0.000	0.040	-	-	53.1196663425877	0.096	0.000	0.000	0.096
FADD	0.040	0.008	0.000	0.032	-	-	52.7808003785344	0.120	0.008	0.000	0.112
RHOB	0.048	0.040	0.000	0.008	-	-	51.9885643972271	0.088	0.056	0.000	0.032
CTNNB1	0.040	0.024	0.000	0.016	CC	PC	51.074877173376	0.048	0.032	0.000	0.016
PABPC1	0.160	0.000	0.000	0.160	-	PC	49.9809251642977	0.168	0.000	0.000	0.168
CTTNBP2	0.032	0.016	0.008	0.008	-	-	49.6192358183442	0.064	0.040	0.008	0.016
PTK2	0.048	0.008	0.000	0.040	-	-	49.4546709061302	0.072	0.024	0.000	0.048
CDKN2B	0.160	0.000	0.160	0.000	-	-	49.3657719621183	0.376	0.016	0.360	0.000
NOTCH1	0.040	0.024	0.008	0.008	CC	PC	49.3252173290203	0.056	0.040	0.008	0.008
MAPK3	0.048	0.016	0.000	0.032	-	-	49.2121133582214	0.072	0.024	0.000	0.056
CDH1	0.040	0.032	0.000	0.008	CC	PC	48.9142501701622	0.056	0.040	0.000	0.016
CTNNA2	0.040	0.016	0.016	0.008	-	-	48.2389596793705	0.064	0.016	0.024	0.024
PAK3	0.048	0.024	0.024	0.000	-	-	48.1960898133597	0.072	0.032	0.040	0.000
ACTB	0.032	0.024	0.000	0.008	-	-	48.0059062677709	0.080	0.040	0.000	0.040
SPTA1	0.144	0.088	0.000	0.056	-	-	46.0268166472869	0.184	0.104	0.000	0.088
CELSR3	0.152	0.112	0.024	0.016	-	-	45.657010073163	0.152	0.112	0.024	0.016
JAK2	0.040	0.008	0.016	0.016	CC	PC	45.3267269107802	0.096	0.016	0.056	0.024
CDKN1A	0.048	0.048	0.008	0.000	-	PC	45.22626475926	0.152	0.144	0.008	0.008
SMARCA4	0.032	0.024	0.000	0.008	CC	PC	44.4236905974046	0.104	0.088	0.000	0.024
PRKDC	0.048	0.024	0.016	0.008	-	-	44.2797417613664	0.128	0.064	0.016	0.056
CCNE1	0.040	0.000	0.000	0.040	CC	-	42.7343606423941	0.152	0.000	0.000	0.152
RHOT2	0.032	0.000	0.024	0.008	-	-	42.5489113088177	0.040	0.000	0.032	0.008
ITGB1	0.040	0.008	0.016	0.016	-	-	42.5460201007549	0.048	0.008	0.024	0.016
ACTN3	0.024	0.008	0.000	0.016	-	-	42.3718245650978	0.048	0.016	0.000	0.032
GATA3	0.096	0.008	0.000	0.088	CC	PC	41.2178767638394	0.112	0.008	0.000	0.104
LAMB3	0.056	0.008	0.016	0.032	-	-	41.091251431793	0.072	0.024	0.016	0.032
RAC1	0.040	0.008	0.000	0.032	-	PC	40.1267003495481	0.048	0.008	0.000	0.040
SMAD3	0.024	0.024	0.000	0.000	-	-	38.3029920512436	0.032	0.032	0.000	0.000
LAMB2	0.024	0.008	0.016	0.000	-	-	37.6084263868278	0.056	0.024	0.024	0.008
PSEN1	0.048	0.024	0.000	0.024	-	PC	35.7481834755366	0.064	0.040	0.000	0.024
MDM2	0.080	0.000	0.000	0.080	CC	-	35.6974941190142	0.088	0.000	0.000	0.088
GLI2	0.032	0.024	0.008	0.008	-	-	34.6887556940724	0.040	0.032	0.008	0.008
GLI1	0.024	0.024	0.000	0.000	-	-	34.653687688811	0.032	0.032	0.000	0.000
RELA	0.024	0.008	0.000	0.016	-	-	33.6431486375024	0.040	0.016	0.000	0.024
ACTN1	0.032	0.016	0.008	0.008	-	-	33.5108402570008	0.032	0.016	0.008	0.008
RHOD	0.016	0.000	0.000	0.016	-	-	33.2535075731929	0.040	0.000	0.000	0.040
ATM	0.056	0.048	0.008	0.008	CC	PC	33.0351417403151	0.128	0.120	0.008	0.008
LAMC3	0.032	0.024	0.008	0.000	-	-	31.4643178726836	0.040	0.032	0.008	0.000
ASH2L	0.056	0.000	0.016	0.040	-	-	31.1752122406025	0.136	0.008	0.024	0.104
RASA1	0.032	0.032	0.000	0.000	-	PC	31.1749291168258	0.040	0.032	0.008	0.000
PIAS3	0.032	0.000	0.000	0.032	-	-	30.9339521210493	0.120	0.008	0.000	0.112
RAC3	0.024	0.000	0.000	0.024	-	-	29.9963426639819	0.040	0.000	0.000	0.040
RHOT1	0.024	0.016	0.000	0.008	-	-	26.8239059968611	0.056	0.024	0.000	0.032
PIK3R1	0.024	0.008	0.016	0.000	CC	PC	26.8211791583167	0.032	0.016	0.016	0.000
DSP	0.048	0.024	0.008	0.016	-	-	26.5209265901344	0.144	0.096	0.016	0.032
FOS	0.032	0.016	0.000	0.016	-	-	26.1398426932153	0.048	0.024	0.000	0.024
FAT1	0.104	0.088	0.016	0.000	-	-	25.866636942649	0.136	0.112	0.024	0.000
SPEN	0.048	0.040	0.000	0.008	-	PC	25.8000907289348	0.088	0.072	0.000	0.016
PAX5	0.032	0.000	0.016	0.016	CC	-	25.4798010669103	0.072	0.000	0.024	0.048
NBN	0.040	0.024	0.000	0.016	-	-	25.1962345682188	0.120	0.040	0.000	0.080
NFE2L2	0.032	0.024	0.000	0.008	CC	PC	25.1238198996344	0.096	0.080	0.000	0.024
TRAF2	0.016	0.008	0.008	0.000	-	-	25.0706295695537	0.032	0.016	0.008	0.008
LAMC1	0.040	0.016	0.000	0.024	-	-	24.3541519562286	0.096	0.040	0.000	0.056
CRK	0.024	0.000	0.016	0.008	-	-	23.9304115637745	0.056	0.000	0.040	0.016
CUL1	0.024	0.024	0.000	0.000	-	PC	23.7889572164423	0.056	0.048	0.000	0.008
HRAS	0.024	0.024	0.000	0.000	CC	PC	23.3087331804362	0.064	0.048	0.016	0.000
PRKAR2A	0.016	0.008	0.008	0.000	-	-	22.5416194358912	0.056	0.016	0.024	0.016
PAX3	0.016	0.000	0.016	0.000	CC	-	22.3474188072784	0.056	0.032	0.024	0.000
POLR2H	0.016	0.000	0.000	0.016	-	-	22.0673905998359	0.048	0.000	0.000	0.048
RHOBTB2	0.024	0.000	0.024	0.000	-	-	21.9454771739121	0.088	0.008	0.080	0.000
HDAC1	0.024	0.008	0.008	0.008	-	-	21.8206134059366	0.024	0.008	0.008	0.008
POLR3B	0.016	0.008	0.000	0.008	-	-	21.8011244660848	0.032	0.024	0.000	0.008
F11	0.016	0.008	0.008	0.000	-	-	21.2166320420105	0.056	0.024	0.032	0.000
SP1	0.024	0.008	0.000	0.016	-	-	20.7320246779456	0.032	0.016	0.000	0.016
CD48	0.080	0.000	0.000	0.080	-	-	20.2940506717737	0.184	0.000	0.000	0.184
TP63	0.016	0.008	0.000	0.008	-	-	20.2586265306051	0.088	0.048	0.000	0.040
CDK3	0.016	0.008	0.000	0.008	-	-	20.2185934012002	0.048	0.016	0.000	0.040
PRKCB	0.016	0.000	0.008	0.008	-	-	19.9151884185356	0.072	0.016	0.008	0.048
IGF1R	0.016	0.016	0.000	0.000	-	-	19.8961328824234	0.048	0.040	0.000	0.008
MDC1	0.024	0.024	0.000	0.000	-	PC	19.7710732555917	0.088	0.064	0.000	0.024
CDK2	0.024	0.008	0.000	0.016	-	-	19.457852638898	0.024	0.008	0.000	0.016
ARHGEF7	0.016	0.008	0.000	0.008	-	-	19.18470242385	0.072	0.024	0.000	0.048
HIF1A	0.016	0.008	0.000	0.008	-	-	19.1016899803497	0.016	0.008	0.000	0.008
SMAD4	0.016	0.008	0.016	0.000	-	PC	18.8247232603325	0.024	0.016	0.016	0.000
NFKBIB	0.016	0.008	0.000	0.008	-	-	18.7704883729618	0.120	0.024	0.000	0.096
TRAF6	0.008	0.008	0.000	0.000	-	-	18.7324094379947	0.032	0.008	0.008	0.016
PLK2	0.008	0.008	0.000	0.000	-	-	18.7324094379947	0.016	0.008	0.008	0.000
PTPRC	0.032	0.016	0.000	0.016	-	-	18.3570355790755	0.088	0.040	0.000	0.048
PIK3CG	0.016	0.016	0.000	0.000	-	PC	18.3463515790117	0.032	0.024	0.008	0.000
GTF2B	0.016	0.000	0.000	0.016	-	-	18.2452100989307	0.040	0.000	0.008	0.032
PLK3	0.008	0.008	0.000	0.000	-	-	18.2280535282293	0.040	0.024	0.000	0.024
PAK7	0.008	0.008	0.000	0.000	-	-	18.2280535282293	0.024	0.016	0.000	0.008
IKBKG	0.016	0.000	0.016	0.000	-	-	17.8932243854754	0.024	0.000	0.024	0.000
PIK3CB	0.016	0.016	0.000	0.000	-	PC	17.761039379086	0.016	0.016	0.000	0.000
VHL	0.008	0.000	0.000	0.008	CC	PC	17.5927716853353	0.104	0.000	0.000	0.104
JUP	0.008	0.000	0.008	0.000	-	-	17.5927716853353	0.048	0.016	0.016	0.016
LAMB1	0.016	0.016	0.000	0.000	-	-	17.3658658791618	0.032	0.032	0.000	0.000
YES1	0.008	0.000	0.000	0.008	-	-	17.33603407196	0.080	0.008	0.000	0.072
TERT	0.016	0.000	0.000	0.016	-	-	17.2965804716209	0.120	0.008	0.000	0.112
RIPK1	0.016	0.000	0.016	0.000	-	-	17.0421218041194	0.056	0.016	0.024	0.016
BRCA1	0.016	0.016	0.000	0.000	CC	PC	16.6341944583781	0.040	0.032	0.000	0.008
PPARD	0.016	0.008	0.008	0.000	-	-	16.3735984622846	0.016	0.008	0.008	0.000
NCOR2	0.024	0.024	0.000	0.000	-	PC	16.2328165378222	0.080	0.080	0.000	0.000
CXCL12	0.016	0.000	0.008	0.008	-	-	16.1673798133188	0.048	0.000	0.008	0.040
TP53BP1	0.016	0.016	0.000	0.000	-	PC	16.0144948993316	0.032	0.032	0.000	0.000
CALM1	0.016	0.000	0.008	0.008	-	-	15.9496289692542	0.048	0.008	0.016	0.024
NCOA1	0.016	0.008	0.000	0.008	CC	-	15.9362175595265	0.088	0.056	0.000	0.032
WBP7	0.016	0.000	0.000	0.016	-	-	15.8611048519297	0.064	0.000	0.008	0.056
DCC	0.016	0.008	0.008	0.000	-	-	15.5821616958049	0.088	0.056	0.032	0.000
SRCAP	0.072	0.072	0.000	0.008	-	-	15.5806031877574	0.136	0.104	0.000	0.040
SLC2A4	0.016	0.008	0.000	0.008	-	-	15.5789959090588	0.040	0.008	0.024	0.008
USF2	0.032	0.008	0.000	0.024	-	-	15.4389799615441	0.056	0.008	0.000	0.048
PCDH19	0.024	0.008	0.016	0.000	-	-	15.3868674257744	0.072	0.032	0.024	0.016
PTPRB	0.016	0.008	0.008	0.000	-	-	15.2472137038553	0.096	0.040	0.008	0.056
CHD4	0.016	0.016	0.000	0.000	-	PC	15.2240598519731	0.088	0.064	0.008	0.016
FOXA1	0.008	0.008	0.000	0.000	-	PC	14.7213244385302	0.072	0.056	0.016	0.000
DAXX	0.008	0.000	0.008	0.000	CC	-	14.7213244385302	0.024	0.008	0.016	0.000
LCK	0.016	0.008	0.008	0.000	CC	-	14.6179885862793	0.024	0.008	0.008	0.008
RAD50	0.016	0.008	0.000	0.008	-	-	14.3716566373034	0.048	0.032	0.000	0.016
POLR2F	0.016	0.008	0.008	0.000	-	-	13.571785276291	0.032	0.008	0.008	0.016
CEBPB	0.016	0.000	0.000	0.016	-	-	13.451329485051	0.056	0.024	0.000	0.032
BARD1	0.008	0.000	0.008	0.000	-	PC	13.3338897223322	0.048	0.016	0.024	0.008
GRK6	0.008	0.000	0.008	0.000	-	-	13.2455758787778	0.032	0.008	0.024	0.000
ITGA1	0.016	0.008	0.000	0.008	-	-	13.1470850850771	0.024	0.008	0.008	0.008
ZFHX4	0.136	0.120	0.000	0.024	-	-	13.1363725483176	0.176	0.152	0.000	0.032
GRB2	0.008	0.000	0.000	0.008	-	-	13.1239987863541	0.032	0.000	0.000	0.032
CTBP1	0.008	0.000	0.000	0.008	-	-	13.1239987863541	0.048	0.008	0.016	0.024
TBRG4	0.008	0.000	0.000	0.008	-	-	13.1176536465417	0.016	0.008	0.000	0.016
LRP2	0.016	0.008	0.000	0.008	-	-	12.8776241497692	0.120	0.096	0.000	0.024
FRS2	0.016	0.000	0.000	0.016	-	-	12.6737227227514	0.096	0.024	0.000	0.080
CHD7	0.048	0.032	0.000	0.016	-	-	12.5503701661636	0.128	0.104	0.008	0.016
POLR2E	0.008	0.008	0.000	0.000	-	-	12.4759879984028	0.032	0.008	0.024	0.000
HMGB1	0.008	0.000	0.000	0.008	-	-	12.2961841096721	0.040	0.008	0.000	0.032
SIAH2	0.016	0.000	0.000	0.016	-	-	12.2926872073184	0.032	0.000	0.000	0.032
WT1	0.016	0.008	0.000	0.008	CC	PC	12.24834653255	0.048	0.016	0.008	0.024
F5	0.008	0.008	0.000	0.000	-	-	12.2227910921326	0.200	0.072	0.000	0.128
CSTA	0.008	0.000	0.000	0.008	-	-	12.2227910921326	0.016	0.000	0.000	0.016
ATF2	0.008	0.000	0.000	0.008	-	-	12.2227910921326	0.016	0.000	0.000	0.016
CDH17	0.064	0.000	0.000	0.064	-	-	12.2092072722227	0.088	0.000	0.000	0.088
POLR3A	0.040	0.016	0.008	0.016	-	-	12.1843764745161	0.056	0.032	0.008	0.016
SMTN	0.008	0.008	0.000	0.000	-	-	12.1495979857834	0.056	0.016	0.000	0.040
IKZF2	0.008	0.000	0.008	0.000	-	-	12.1495979857834	0.112	0.024	0.072	0.016
ATG16L2	0.008	0.008	0.000	0.000	-	-	12.1495979857834	0.048	0.008	0.000	0.040
DSG1	0.024	0.024	0.000	0.000	-	-	12.0557240331931	0.064	0.040	0.000	0.032
FASLG	0.016	0.000	0.000	0.016	-	-	12.007960291109	0.128	0.000	0.000	0.128
PIK3R3	0.016	0.000	0.000	0.016	-	-	11.6906718484668	0.024	0.000	0.000	0.024
SMARCC2	0.008	0.008	0.000	0.000	-	-	11.3917964363614	0.056	0.048	0.000	0.008
MAPK14	0.008	0.008	0.000	0.000	-	-	11.3917964363614	0.008	0.008	0.000	0.000
PPARA	0.008	0.000	0.008	0.000	-	-	11.3469637657401	0.024	0.000	0.024	0.000
SRC	0.008	0.008	0.000	0.000	-	-	11.287906404161	0.032	0.032	0.000	0.000
JUNB	0.016	0.016	0.000	0.000	-	-	11.0261243498042	0.024	0.024	0.000	0.000
VCL	0.008	0.000	0.000	0.008	-	-	11.0047510331032	0.024	0.008	0.000	0.016
PRKAR1B	0.008	0.000	0.000	0.008	-	-	11.0047510331032	0.048	0.008	0.000	0.040
SPTAN1	0.064	0.056	0.000	0.008	-	-	10.9236216809333	0.120	0.112	0.000	0.008
TIAM1	0.016	0.008	0.000	0.008	-	-	10.848415610559	0.080	0.056	0.000	0.032
PRKAA2	0.008	0.008	0.000	0.000	-	-	10.8318778784405	0.048	0.024	0.000	0.024
PLAT	0.008	0.008	0.000	0.000	-	-	10.8318778784405	0.120	0.008	0.032	0.080
MAPK11	0.008	0.008	0.000	0.000	-	-	10.8318778784405	0.040	0.016	0.024	0.000
JUN	0.016	0.000	0.000	0.016	CC	-	10.741972721509	0.016	0.000	0.000	0.016
PLCG1	0.008	0.008	0.000	0.000	-	PC	10.6938195375098	0.032	0.024	0.000	0.008
MYST4	0.008	0.008	0.000	0.000	CC	-	10.6938195375098	0.024	0.024	0.000	0.000
NCOR1	0.024	0.024	0.000	0.000	-	PC	10.6783898904014	0.144	0.088	0.056	0.000
ERBB4	0.008	0.000	0.008	0.000	-	-	10.6360869412102	0.088	0.024	0.056	0.008
NGFR	0.008	0.008	0.000	0.000	-	-	10.4423695101773	0.024	0.016	0.000	0.008
PRKACG	0.008	0.000	0.008	0.000	-	-	10.3493051310235	0.008	0.000	0.008	0.000
CDH23	0.008	0.008	0.000	0.000	-	-	10.2333536717225	0.072	0.064	0.000	0.016
SMARCE1	0.016	0.016	0.000	0.000	-	-	9.94055476003501	0.040	0.024	0.000	0.016
STAM	0.008	0.008	0.000	0.000	-	-	9.9205111805112	0.080	0.008	0.016	0.056
RHOBTB1	0.008	0.000	0.008	0.000	-	-	9.9205111805112	0.032	0.008	0.008	0.016
KLHL9	0.120	0.000	0.120	0.000	-	-	9.78491236942381	0.168	0.016	0.144	0.008
CCL5	0.008	0.000	0.000	0.008	-	-	9.385132021498	0.032	0.000	0.008	0.024
NOS1	0.016	0.008	0.000	0.008	-	-	9.32845311271143	0.040	0.032	0.000	0.008
RHOF	0.008	0.000	0.000	0.008	-	-	9.30760227368752	0.008	0.000	0.000	0.008
PXN	0.008	0.000	0.000	0.008	-	-	9.30760227368752	0.008	0.000	0.000	0.008
CAMKK2	0.008	0.000	0.000	0.008	-	-	9.30760227368752	0.032	0.024	0.000	0.008
ASCL1	0.008	0.000	0.000	0.008	-	-	9.30760227368752	0.016	0.008	0.000	0.008
MAPK1	0.008	0.000	0.000	0.008	-	-	9.29267538866336	0.040	0.000	0.008	0.032
ABL1	0.008	0.008	0.000	0.000	CC	PC	9.29267538866336	0.040	0.032	0.008	0.000
SCN4A	0.024	0.008	0.000	0.016	-	-	9.07686122800001	0.080	0.032	0.000	0.048
STK25	0.008	0.000	0.008	0.000	-	-	9.01352908494616	0.056	0.000	0.056	0.000
NGF	0.008	0.008	0.000	0.000	-	-	9.01352908494616	0.032	0.016	0.000	0.016
PAK4	0.008	0.000	0.000	0.008	-	-	8.935156751286	0.088	0.008	0.000	0.080
CDC42	0.008	0.000	0.000	0.008	-	-	8.87114541330728	0.016	0.000	0.000	0.016
PRKAR1A	0.008	0.000	0.000	0.008	CC	PC	8.79305092620368	0.048	0.008	0.000	0.040
PAK1	0.008	0.000	0.000	0.008	-	-	8.79305092620368	0.032	0.000	0.000	0.032
BATF	0.008	0.000	0.000	0.008	-	-	8.79305092620368	0.040	0.008	0.008	0.024
AKT1	0.008	0.000	0.000	0.008	CC	PC	8.79305092620368	0.064	0.000	0.032	0.032
TBP	0.008	0.000	0.008	0.000	-	-	8.59048483647776	0.008	0.000	0.008	0.000
SMC3	0.008	0.008	0.000	0.000	-	PC	8.59048483647776	0.016	0.016	0.000	0.000
CACNA1H	0.024	0.000	0.016	0.008	-	-	8.57800696731594	0.048	0.008	0.032	0.008
INPPL1	0.008	0.008	0.000	0.000	-	-	8.35150123490272	0.064	0.016	0.000	0.048
AGRN	0.008	0.008	0.000	0.000	-	-	8.35150123490272	0.024	0.024	0.000	0.000
UBR5	0.056	0.032	0.000	0.032	-	-	8.33809600859886	0.200	0.080	0.000	0.144
POLR2K	0.008	0.000	0.000	0.008	-	-	8.2943055108604	0.152	0.000	0.000	0.152
NR3C1	0.008	0.008	0.000	0.000	-	-	8.2943055108604	0.016	0.008	0.000	0.008
RXRB	0.008	0.000	0.008	0.000	-	-	8.07929295142416	0.016	0.000	0.016	0.000
PAPOLA	0.008	0.000	0.008	0.000	-	-	8.07929295142416	0.088	0.056	0.024	0.016
LAMA4	0.016	0.016	0.000	0.000	-	-	7.95759057922187	0.056	0.040	0.016	0.000
PTGS2	0.024	0.000	0.000	0.024	-	-	7.84702925416834	0.064	0.016	0.000	0.048
FEZ2	0.016	0.016	0.000	0.000	-	-	7.8347810225601	0.032	0.016	0.000	0.016
S100P	0.016	0.000	0.000	0.016	-	-	7.77169098001767	0.032	0.000	0.008	0.024
CLK1	0.008	0.000	0.008	0.000	-	-	7.6569897826214	0.032	0.024	0.008	0.000
NFKB1	0.008	0.008	0.000	0.000	-	-	7.49970295763463	0.008	0.008	0.000	0.000
TCF7L1	0.008	0.000	0.000	0.008	-	-	7.41874844430854	0.024	0.000	0.000	0.024
E2F1	0.008	0.000	0.000	0.008	-	-	7.41874844430854	0.048	0.008	0.000	0.040
DDB1	0.008	0.000	0.000	0.008	-	-	7.41874844430854	0.048	0.016	0.000	0.032
TLN1	0.016	0.000	0.000	0.016	-	-	7.22797689244721	0.056	0.016	0.008	0.032
UTRN	0.024	0.024	0.000	0.000	-	-	7.19965745612104	0.064	0.056	0.000	0.008
NOTCH3	0.008	0.008	0.000	0.000	-	-	7.18469508549294	0.024	0.024	0.000	0.000
ZFPM1	0.008	0.000	0.000	0.008	-	-	7.09459461484608	0.048	0.024	0.008	0.016
PLCG2	0.008	0.000	0.000	0.008	-	-	7.09459461484608	0.040	0.024	0.000	0.016
SIAH1	0.008	0.000	0.000	0.008	-	-	7.01305065182722	0.032	0.000	0.000	0.032
TRADD	0.008	0.000	0.000	0.008	-	-	6.95290819299486	0.032	0.008	0.008	0.016
BCAR1	0.008	0.000	0.000	0.008	-	-	6.95290819299486	0.032	0.000	0.000	0.032
CHEK1	0.008	0.008	0.000	0.000	-	-	6.91252988778782	0.016	0.008	0.008	0.000
CCND1	0.008	0.000	0.000	0.008	CC	PC	6.91252988778782	0.128	0.008	0.008	0.112
STAT3	0.008	0.000	0.000	0.008	-	PC	6.8354133617942	0.016	0.000	0.000	0.016
MET	0.008	0.008	0.000	0.000	CC	-	6.8354133617942	0.040	0.032	0.000	0.008
JAK1	0.008	0.000	0.000	0.008	CC	-	6.81382850936997	0.048	0.024	0.000	0.024
ETS1	0.008	0.000	0.008	0.000	-	-	6.81382850936997	0.040	0.016	0.008	0.016
CSTF2	0.008	0.000	0.008	0.000	-	-	6.50142794911406	0.048	0.008	0.024	0.016
LAMA5	0.008	0.008	0.000	0.000	-	-	5.59591574411387	0.080	0.064	0.000	0.016
DMD	0.008	0.008	0.000	0.000	-	PC	5.58982982304999	0.080	0.056	0.008	0.016
IL16	0.016	0.008	0.000	0.008	-	-	5.56083513374765	0.024	0.016	0.000	0.008
CBLB	0.008	0.008	0.000	0.000	CC	-	5.28813542767818	0.048	0.048	0.000	0.000
RAP1B	0.008	0.000	0.000	0.008	-	-	5.01673294013002	0.072	0.016	0.000	0.064
SP3	0.008	0.008	0.000	0.000	-	-	3.99917031232399	0.032	0.016	0.000	0.016
COL1A1	0.008	0.008	0.000	0.000	CC	-	3.99917031232399	0.024	0.016	0.000	0.016
YBX1	0.016	0.000	0.000	0.016	-	-	3.9578353431203	0.040	0.000	0.000	0.040
CDH10	0.096	0.032	0.000	0.072	-	-	3.77047300305791	0.136	0.040	0.000	0.104
JUND	0.008	0.008	0.000	0.000	-	-	3.44529025241344	0.008	0.008	0.000	0.000
TFAP2A	0.008	0.008	0.000	0.000	-	-	3.22048371608543	0.064	0.032	0.008	0.024
HSPA5	0.008	0.008	0.000	0.000	-	-	3.09500094856629	0.016	0.008	0.000	0.008
SMARCA5	0.008	0.008	0.000	0.000	-	-	2.61077004055237	0.024	0.008	0.000	0.016
NF1	0.024	0.024	0.000	0.000	CC	PC	2.56096042133999	0.104	0.088	0.000	0.024
BAZ1B	0.016	0.016	0.000	0.000	-	-	2.48504399855913	0.032	0.016	0.000	0.016
VDR	0.008	0.000	0.000	0.008	-	-	2.4737126469059	0.032	0.008	0.000	0.024
KDR	0.008	0.008	0.000	0.000	CC	-	2.4737126469059	0.064	0.056	0.000	0.008
CD52	0.008	0.000	0.008	0.000	-	-	2.29607006969659	0.056	0.000	0.032	0.024
BCL9	0.024	0.016	0.000	0.008	CC	-	1.84217690417553	0.152	0.040	0.000	0.112
SVEP1	0.048	0.048	0.000	0.000	-	-	1.66986800438206	0.072	0.072	0.000	0.000
CACNA1D	0.016	0.008	0.008	0.000	-	-	1.49687077578506	0.056	0.032	0.016	0.008
ANK1	0.016	0.016	0.000	0.000	-	-	1.42586157066096	0.152	0.056	0.032	0.080
CDH4	0.048	0.032	0.000	0.016	-	-	1.39507038015753	0.072	0.056	0.000	0.016
CDH8	0.040	0.032	0.000	0.008	-	-	1.39067226006903	0.056	0.032	0.000	0.024
ITGA8	0.008	0.008	0.000	0.000	-	-	1.2473377805511	0.112	0.040	0.016	0.056
PCDHA11	0.040	0.040	0.000	0.000	-	-	1.09424576204267	0.048	0.048	0.000	0.000
FAT2	0.032	0.032	0.000	0.000	-	-	1.05046725297051	0.080	0.080	0.000	0.000
PCDHA9	0.024	0.024	0.000	0.000	-	-	1.00432335276304	0.056	0.056	0.000	0.000
PCDHB10	0.024	0.016	0.008	0.000	-	-	0.940592168650379	0.024	0.016	0.008	0.000
