FSTL1	ASPM
KIF5C	MAPK1
DUSP10	AVPR1A
CRLF3	CAMK2A
PSMA5	KCNC1
PIAS1	ZNF192
ADCYAP1R1	POU3F2
FBXO7	NR1H4
CDH20	NHP2L1
ZNF3	IL23A
LRRFIP1	RARG
CBX2	ICAM4
CNOT2	ANP32A
ALDH5A1	PCDH1
SERPINA4	H3F3A
DDX50	MAN1A1
TK2	TRIM37
BLVRB	DGKI
STMN1	ARF6
GUCA2A	STX18
STK39	IL17B
MMP24	PTPRJ
CKS2	TBXAS1
RHO	ADH7
BANF1	RAB5A
CR1	MC2R
RPS6KA2	HBE1
HMBS	KRT3
GADD45B	FTL
ZNF287	HIF3A
TDP1	RIPK5
DAAM2	CCND3
ZFYVE9	AKAP13
NDUFB3	UQCR
FPR1	HUWE1
DEFB4	SSTR1
FMNL1	HOXC8
SEPT7	CENPM
GNLY	HDAC4
ZNF165	ZNF467
ITGA10	NSD1
NDE1	SMC1A
ARHGDIB	SIRT1
FSHB	PEX6
ANXA2	KIAA0391
MCF2L	NDUFB4
FH	FADS2
DGCR8	UCP3
GSR	HPS6
CACNA1C	CPD
PDCD6	MIA2
AMPH	PUM2
ALDH1L1	BEX1
CCL23	UBE2N
OBSL1	CASP9
RBM4B	TNNT2
PPP1R15A	COQ7
CD1B	CALML5
FCGR2A	ACAA2
MDC1	PPEF1
MAN1A1	MOG
KRT9	MEFV
HTR1A	PEX3
FBXO34	TRGV3
RB1CC1	IVD
PCDH12	RPS6KA1
EIF4E	ACO1
ABHD5	GNA14
F2RL2	HDGF
HTR4	ZNF143
MRAS	CTPS
TRAF6	EFHA1
AXL	GRIK5
ATP2C2	CD19
LMNB1	PIK3R4
CSNK1E	RAP1A
SRP14	DLST
KCNQ4	STAG1
PIK3C2B	COTL1
TUBB2B	IHH
USP15	TAS2R16
TCEAL2	WBP11
PTGER2	CARD9
CTNNA1	CDS2
CBX4	SNCAIP
NTRK2	MAPK8
MFGE8	NHLH1
PFKFB2	SIX2
TAS2R4	KIN
IL10	FYN
RNF167	ATP5C1
PRMT5	HTR2C
ETV3	CD46
PAK7	FLOT2
CEP63	SMAD6
DPM1	FHL1
ACR	TNFRSF11B
ALOX5AP	ANXA3
KLK7	WNT7B
LRP1	RPGR
TNK1	PZP
TAS2R9	BMP7
ZNF16	STAT1
POLR1B	EIF4G3
TACC1	GAL
KRT4	MKL1
PAX6	CASK
SCG2	ZFHX3
TUBB4	MT1G
POU4F3	CCDC99
MDM2	DYNC1LI2
CAPNS1	KLK3
NLK	STX5
ITGBL1	COIL
TAP2	ADAM8
OR2C1	EIF2B5
GALR3	TAS2R10
NBEA	ZNF266
AKT2	TACC3
CLDN3	BMP2
GNAI1	MAN2C1
EGFR	PCK2
VPS4B	RASA3
SLC25A4	PPP2R5E
NDRG1	UIMC1
SESN1	PRPF40A
GBE1	TAF5L
CLASP1	TPM4
FARP2	NPAS3
MAPKAPK3	NOS3
NCAM2	CKB
PRKD2	SEPT7
OR2H2	GNG13
ZFP36L1	SCMH1
DZIP1	NELL1
GPR161	NAGA
NKX3-1	PRPH
CCNB2	ARL6IP5
ZNF10	PNN
PURA	TYMS
PCNP	MAPT
CREB1	CEACAM1
ERBB2	NKX2-2
DDX3Y	F2RL3
RPS3A	SOCS6
LGALS3	MAPK4
LAT	CRADD
CLDN14	KIF23
DHX38	HLA-C
KCNA3	SLC7A10
BTBD1	GPM6B
SKIV2L2	SLC6A3
ABCF1	ZNF324B
CDT1	GTF2A2
ZHX2	ADRA2B
CD28	GABRA2
SMARCA4	OR1F1
SEPT2	UBE2H
SOHLH2	ALDH3A1
LRP8	BAZ1B
TAGLN3	ANKRA2
MASP2	CPNE1
TTRAP	ANK2
AGL	CCS
NFE2L3	PATZ1
STAT5B	PARVA
ENPEP	MMP16
SSB	TCHH
SKI	GNAI2
TIMM23	LAMA3
AKAP3	ZSCAN21
OAS2	CDC42EP3
SEC61G	ARL15
ARHGEF4	BRF2
FAIM	GATAD2A
TBL1XR1	CUL2
SP140	ADRA1A
NUDC	ASB13
PPP2R2A	WAPAL
EIF3J	ABCD3
CPA3	ZNF329
BCAT2	IPO4
MFN1	SERPINB8
F10	PAX7
COMP	WASF1
TAL1	SDHB
ACSL1	NONO
TCAP	ZNF701
HCFC2	PIN4
ABL1	ABCB4
RBBP7	MAP3K5
NCOR1	DAXX
TXNRD1	ZNF287
UBE2H	ABCD2
VIP	GRN
CALCR	NEUROG2
CCNE2	CD3G
LILRA1	SHANK2
MC2R	ACTG2
PPP1CB	PIAS4
USP33	TMEM48
MAP3K12	C3AR1
ARF5	ARHGAP5
PAAF1	SIVA1
CCT3	APOC2
SLC3A2	KIR2DS4
PIWIL2	CDH6
RAD50	ZNF148
MBTPS2	HSPA5
MVK	NPC1
NCL	CIC
PSMD10	SEPT6
HRH1	PGR
RASGRP3	RHO
MED21	CLK4
GRPR	IFNGR2
NTSR2	FABP4
SPTBN2	CKMT2
HTRA1	RPS6KA4
RNF111	TEAD1
WISP1	SUPT4H1
ATP2B4	ELA2B
PTH	CTGF
TARDBP	CAT
RAB22A	MAFG
P2RY10	TGFBR1
STAU1	B4GALT5
NME5	RASA2
CHMP1A	SMARCA5
HDAC11	HLA-DRB1
HADHB	SLC16A7
ADAR	NDUFA3
SF4	NUCB2
PLXNB2	MAT2A
P2RX1	CISH
GAS2	MT1E
EN2	EGLN1
NUMB	KLF13
TNIP1	C1S
INHBE	RPL34
NSFL1C	FRY
RHOG	EEA1
HBB	ORM1
MED15	KIR2DL4
HEY1	ARHGEF2
KNG1	TINAGL1
CASR	CSE1L
ITGAX	NDRG1
IRF2	PLA2G10
GNG7	TBX6
PGR	MYO16
RUNX2	TAX1BP3
SOX1	GTF2H4
SRPX	ARHGDIA
BRE	EXOC5
ODC1	ARHGDIG
SDC3	SERPINB6
NR2F6	ZWILCH
ADORA2B	ACTR1A
ZFYVE16	VEGFC
SYNJ2BP	HNRPDL
E2F2	TIMM17A
POLE	PTGES2
THRA	COL6A3
MAPK11	PGK2
PTGES2	SLC20A1
HIP1R	PPP3R1
ENO3	ZNF408
COL4A6	TLR7
TOMM70A	SPAG6
NAB1	HOMER3
DET1	ATXN1
FECH	CHD2
PLG	MTNR1B
RAP2A	RBPMS
AZIN1	TNNI3
CRIP1	DHTKD1
SLC7A7	APRT
IL10RA	VBP1
CDC42EP4	BMP5
ARG2	AP1G1
JARID1A	ARHGEF1
ASH2L	PSME2
ICAM3	AP1S1
SLC1A3	FOXM1
RNF139	MAPK12
ADAM8	DPYSL2
SFTPC	IL1A
RGS12	ALDH1A1
PCDHGA11	MSH4
RPL35A	CTLA4
RAPGEF5	POU6F2
MAP4K2	PCDHB8
PRDM5	MYST3
KCNV1	XPO1
ACP1	AVPR1B
SIGLEC5	SERPINA4
ZMYM2	TRAF1
LPL	FUSIP1
HCN4	KCNMB1
CD8B	ECM1
TGM4	FZD10
CD84	SCAP
RASA1	CCR3
PHKG1	RIOK3
NONO	MYL3
IMPA1	CUL4B
SH3BP1	MAPRE2
CLEC5A	PRKAA1
ITCH	SFI1
ARPC5L	ACTL7B
MBP	TJP3
SIM2	LIN7C
SLC2A2	AKT1
RPP25	SNUPN
EXO1	SFRP5
SOSTDC1	MARCKSL1
HRC	DFFB
KIRREL	TRH
PIK3R1	ATF4
HOXC11	GRIN2D
MAF	GPR19
DOK5	MTCH1
ZMIZ2	ARHGAP29
ADRB3	FOXP3
DMD	ATP6AP1
STAMBP	GRWD1
ADCY2	TXNDC5
TCF20	SVIL
KLHL20	POLR2G
SRM	ZNF544
ABCB11	TFAM
KCNC2	RNASE1
CDH19	KRT32
SSH3	GCH1
ZNF135	GUCA1B
PER1	NTS
KLC2	SMAD1
HDAC1	TRAK1
MTCP1	HIC2
GPR63	DUSP4
MICAL1	ADORA3
BLZF1	KCNJ6
PCDHGC3	PTCRA
CAV2	TIE1
DUS1L	EPHA4
NEK9	IQGAP2
WARS2	TSC22D3
DCHS1	KLF4
TOMM40	POU2F3
TUBGCP5	ZNF136
SEPT11	CRABP1
ADNP	NPY2R
GSTM5	DYNC1I1
PDCD1LG2	ZNF334
SNRPB2	FZD8
APOA4	ODC1
APBA3	RMI1
PMS1	ZNF80
IL9	ADCY7
EIF3E	ITPKA
HOXA11	CLTC
RPL31	SKAP1
NARG1	CASP7
TFCP2	TRHR
KDELR2	FUT1
TLE4	U2AF2
TLK2	VAV3
PKP3	KPNA1
CIR	PLCB3
RPN2	GJA5
SH3GL2	ZNF623
SFMBT1	CCNF
IGFBP3	RAB4B
FER1L3	MBD3
DEK	SERPIND1
ALB	CA9
SORBS3	IL12B
UPF2	DLGAP2
ARHGAP24	ADM
C4BPA	SSTR2
C1QA	KIF11
TERF1	CEP110
DNTT	CDX2
SEC61A2	TGFB1I1
COL11A1	UBOX5
HIST1H1D	CSNK1G3
UCP3	TSC22D4
TREM1	SETDB1
CKMT2	PCDHA10
HLA-C	SPAG9
SPRED2	UBE2D4
PLA2G12A	GABRR2
TIMP4	TRIB3
SLIT2	NSMAF
RSF1	TCL1B
POU3F3	VAV2
LIN7C	TGFBR2
NKX2-2	VPS39
SLC25A31	MPP3
FZD4	PANX1
GALNS	TAAR2
STX6	ZNF358
CIDEB	TOMM70A
PDK3	IL3
CASP4	PIP4K2B
TPR	PTPN3
MTX2	ZSCAN12
HOXB7	ELK4
KCNJ16	TMF1
IRF9	ERO1L
TNPO2	OCLN
FABP2	NAT2
FBXL4	PSMA3
MYO1D	GPHN
NFU1	RDX
BMP2K	PCTK2
UGT8	THOC2
MAPK4	GUCY1B3
GLP2R	KLKB1
WNT7B	MAPKAPK2
RHOBTB1	CAND2
SLC4A4	PCGF2
FLII	OR5I1
RPL38	CALR
RPS16	SEMA3E
AP2A2	PFKFB1
CSNK2A1	HSP90B1
ZNF214	GABARAP
TWIST1	SH3BP2
DDX56	CDKN2B
EPO	NR2F1
ZNF682	GLB1
AOX1	KHDRBS2
RPL14	TFF3
CYR61	GUCY2D
DTNA	NID2
MAFF	PLS3
EEA1	ACSL4
LY96	ZMYM4
KLK3	TBX4
IL1R1	MEN1
KTN1	HIST1H4A
ARL5A	FBXO3
ADAM2	PDLIM4
PHKB	CSNK1E
CCT6A	SORCS3
FAM13A1	HGF
EHHADH	GZMH
ITGB5	HIP1
FKBP2	H1FX
XPO7	DNM1
NR1D1	IL13RA1
TRIM5	GULP1
APOC1	APPL2
RNASE4	KCNAB3
PARD6B	POLD2
ARID1A	RPL39
NEK2	DDB1
PCDHGA3	APOA2
HIST2H2BE	ID1
RCN2	UNC13B
SHMT2	TNRC4
NDUFA5	CPA1
AP1S1	SGCA
SDHA	UPF3B
SMAD6	GPX2
SAV1	CXCL9
SAT1	NSUN5
ADAMTS7	MEOX2
RPP38	HNF4A
VEGFB	SLC25A13
COLQ	BMP1
NRXN2	IDH2
KLRB1	MC5R
SAFB	MST1R
RFX2	EIF1AX
MAPK8IP1	MMP10
MLLT4	ALDH1A3
ANKZF1	TXNDC1
DUSP8	HYOU1
MEF2C	LIG3
LBR	CLEC5A
CBFA2T3	RAB32
IL2RG	ZP2
COG7	CCDC101
MYB	P2RX1
KLF3	MLF1
PLXNA3	TSEN2
FZR1	DST
XRCC2	MKL2
MMS19	CACNG4
ESPL1	PDCD1
ERBB4	PHLPP
MAP4	YWHAH
ACTR3	RAMP1
UGCG	PLAT
GPHN	UBE2L6
ZAP70	COL17A1
SLC6A2	LGMN
LPP	RRAS2
PTPRCAP	EIF3B
HIVEP1	NDUFB2
IL12RB1	STAT5A
EIF4EBP2	ERBB4
DFFB	TNS3
ATRX	IFIT2
HSPB6	HOXA5
NMB	KCNN4
COX5A	NFIC
EIF6	NEUROD1
AIFM1	DCHS1
GSTA1	PREPL
POLR2L	GPX1
SEMG1	ZNF157
TRAF3IP2	SIGLEC5
LAMA2	TAP1
TAF4B	USP15
RLBP1	GINS2
SLTM	DNM3
MALT1	USP6
ARVCF	CALCR
RENBP	MORF4L1
NID1	RAPSN
TUBGCP3	SEMA4A
MMP13	LILRA1
ZNF85	CSTF2
C8A	AKAP4
HOXC13	PEA15
SLC25A37	PPP1R12A
SMARCC2	IRF9
TFDP2	POLR2H
POLI	OGDH
UCN	ASAH1
ZNF764	PPP2R2A
USF2	CUL5
FHL3	RAD1
SPATA5L1	LRPPRC
DSP	PTGER1
ZNF248	MAK
PELP1	TAF15
MBL2	HR
ZNF230	ATP4A
RNF41	VTN
MSN	PKIG
MUSK	NEUROG1
ZNF434	MYO1B
SMARCD1	BCL11B
GTF2E1	MED16
DDOST	REC8
ARHGAP17	HSP90AA1
GPNMB	PTPRA
TTF2	SEC24C
SFPQ	POU3F3
AKR1B10	PDE3B
NGRN	GLI1
RGS16	PLP2
MECP2	C1QBP
PSMA1	TINP1
TOP3B	GLMN
NFATC4	RBX1
NOS1	CCT6B
BMPR1A	UNC5C
PRL	ACVR1
FUBP3	MMP3
STAG2	SEPT11
ACACA	ARF4
ODF1	GJB1
ATOH1	NR4A3
CD55	CDK5R1
RPS23	FGF6
PLN	SUCLA2
LYPLA1	ESR2
PRDM9	CTNNB1
SMAD3	LGR4
NUP93	PRMT3
LNPEP	YARS2
YARS2	PAK6
PTGDR	CD1A
ZNF669	PEF1
ASB8	SUMO1
PLP2	SSNA1
COQ7	PCDHGA9
CHMP5	ATP7B
CACNB3	INSRR
NEDD4	SOCS7
THAP11	ADAM2
ZNF43	CLTCL1
KRT13	PNLIPRP2
NEK4	SAR1A
PRKAR2A	EIF5B
ATP6V0B	SEMA7A
CACNA1E	ALOX5AP
CEACAM8	PTAFR
PEX14	POLR2K
PAFAH1B1	TXNL4A
PCTK2	ZBTB48
OSTF1	UBE2E1
PLTP	CD151
SLC25A1	ZKSCAN5
EZH2	ADAR
PLEKHB1	CCR4
GRB7	CITED2
ZFP37	SSR2
PELO	VPS72
ZNF154	LRAT
SYT5	BET1
PON1	NAP1L2
ATP4A	PTTG1
HBEGF	RICH2
PI4KA	DCX
POU2AF1	DDAH2
MRPL12	PAPPA2
DDAH1	PAK4
MGAT1	AP2M1
UGT2B15	PPP2R3A
CHEK1	ACTR2
ZNF8	PRKAG2
TXNDC1	INVS
CKB	PDLIM5
IPO8	CFTR
FZD2	RAPGEF6
PSMB6	NPHP1
MAP3K14	PASK
PHC3	SPEN
PCDHB8	RIT1
PPP1R8	MYST2
TNFRSF11B	AKR1C3
GOLPH3	C7
PDE6D	EPOR
ZNF117	TGFBI
CLK2	CYB5A
NKRF	G6PC
TNFSF15	RAB5B
DUSP2	RNMT
GABRR2	WNT16
PIK3C3	CCNB2
NEFM	MYO7B
TNNC2	RNF2
ANKRD28	SLC25A36
STMN3	CSDA
SYN1	RFX1
RAB14	LLGL2
ZIM2	RABIF
APBB1	CD8B
SND1	KIAA1109
B4GALT1	POT1
CHD3	SOCS3
RNASE2	CHRM4
BCAP31	E2F4
CXXC1	MAP3K4
PIB5PA	PAX6
CD40	KCNH2
FAT2	MYO9B
DYNC1LI2	CEACAM3
GDI1	RGS11
ZNF81	NEDD4
CS	NACA
IGFBP7	PELO
ZNF318	LDLR
SCN4A	ATRX
ARHGAP4	ABCC2
EHMT2	CCKBR
UFD1L	AKR7A3
EXOSC10	NFYA
ECE2	JARID1D
OVGP1	CLDN18
ATG4B	ITGA7
SCD5	POLE3
MAL	NDUFS1
WDR5B	SCIN
GALR1	MCM4
AQP4	CABP2
GRIN2C	SEP15
DMPK	LEF1
CCRN4L	IL1RL2
KIFC1	ABCC1
LHX5	GNA13
SMC1A	MAFK
TRPC7	MYOC
LPXN	EBF2
SERPINA1	CGA
RPS13	SH3BP5
CRHR2	TNIP1
PRKAA1	CDC25A
FADS2	CRH
ENAH	RAD54B
KIR3DL2	SULT1A2
ATP2C1	PSMD13
PABPC3	TAC3
EGR1	SAFB2
CCL17	TNS1
SLC12A2	NUBP1
ESRRG	APOA1
CNGA1	COL6A2
RDH5	UTP15
CD58	OR2B6
PTGFR	LARS
SELE	PTH2R
OR1G1	AFP
EXOSC9	CAV1
PSMC6	CBLN1
ABCB1	RASGRP2
PCDHA2	CYP2E1
SSR3	THBS3
MSI1	DRD5
TRAT1	TNFSF4
PLAGL1	HRG
LLGL1	RIN1
RNF2	SLC16A1
KLF6	HDAC5
NR5A1	PSMC1
THBD	OR2W1
ABCD2	GSTA1
ITGB7	DAZAP1
HUWE1	BAK1
CDH17	POLR2I
CD180	SMARCA4
POLA1	GP6
IL17A	TEC
TMPO	KLRG1
GNAT3	GRP
FLOT2	SLC9A3R2
MAP4K1	UPP1
RRAS2	ZNF84
ARPC5	RARRES3
SV2B	LOR
CYP2A6	UBE2G1
NDUFS2	SP100
UBR5	PIP4K2A
GP6	JAM3
LEF1	SKIV2L2
ZNF20	TOP3B
CTPS	AQP7
EYA1	ZNF395
SERPINB2	BUB3
MAPK14	NDUFA5
GTF2F2	TOP2A
HPR	GSTM5
CLCN2	POLD3
ANXA6	NFE2L3
KCNJ9	NRBF2
EMID1	AMHR2
DPM3	H2AFV
SLC25A13	ACCN3
SMPD1	RARA
MOCS3	SMG7
TH	LMNB1
COL6A2	PRDM5
TMEM47	ACCN1
HIST1H2BN	DAPK2
RAPGEF1	THOP1
HSF2BP	PCDHB17
MAP3K8	IL1F7
DLG4	GPR1
MYH3	GAS2
SULT1A1	KTN1
SPON1	KIR3DL1
PLA2G4A	GRM6
RAB23	IFITM2
MAPRE3	NHLH2
MAP2K2	HIVEP1
ELN	FANCC
TLR8	KCNJ2
PCDHA9	NEDD9
ABCC3	TOMM22
HLA-DMB	FGFR4
RRAGA	HOXC4
RHAG	LGALS3
ELA3B	AP2B1
HLA-A	RABEPK
LDHA	MTSS1
EDNRB	EDN2
SCD	ZFP64
RCVRN	FBXW7
SHANK1	CD244
CD226	UBE2A
STAT3	KRT9
PPP2R5C	ZNF33B
SYNJ2	ASB8
CAPG	UBE2I
MBD4	EXOSC7
ROBO1	POLD4
ATN1	PYGO1
ARSB	MAP4K2
MAD1L1	NDUFS7
INPP1	CHD3
ANKRD11	RAB11FIP1
EIF5A2	KCNJ15
CAP1	PORCN
SEPT9	ACAA1
GUCY2D	PES1
VPS11	RPP30
CPM	MAX
NDUFB5	PRPSAP1
CIDEA	STK17B
SIPA1L1	MYCN
FBXO5	EFEMP1
